[ui][nex_ui_on_click] register callback | widget=25, callback=0x24413260ae0
[ui][nex_ui_on_click] register callback | widget=31, callback=0x244132507c6
[ui][nex_ui_on_click] register callback | widget=32, callback=0x2441325085a
[ui][nex_ui_on_click] register callback | widget=33, callback=0x244132508ec
[ui][nex_ui_on_change] register callback | widget=37, callback=0x24413250bb0
[ui][nex_ui_on_click] register callback | widget=38, callback=0x24413250c42
[ui][fire_pending] invoking callback | widget=22, kind=Click, fn_ptr=0x24413260a4e
[ui][fire_pending] callback returned | widget=22, kind=Click
[ui][fire_pending] invoking callback | widget=4, kind=Click, fn_ptr=0x24413270181
[ui][fire_pending] callback returned | widget=4, kind=Click
[ui][fire_pending] invoking callback | widget=5, kind=Click, fn_ptr=0x244132701b3
[ui][fire_pending] callback returned | widget=5, kind=Click
[ui][fire_pending] invoking callback | widget=6, kind=Click, fn_ptr=0x244132701e5
[ui][fire_pending] callback returned | widget=6, kind=Click
[ui][nex_ui_on_click] register callback | widget=3, callback=0x20c3f1b014f
[ui][nex_ui_on_click] register callback | widget=4, callback=0x20c3f1b0181
[ui][nex_ui_on_click] register callback | widget=5, callback=0x20c3f1b01b3
[ui][nex_ui_on_click] register callback | widget=6, callback=0x20c3f1b01e5
[ui][nex_ui_on_click] register callback | widget=14, callback=0x20c3f1a09c2
[ui][nex_ui_on_click] register callback | widget=15, callback=0x20c3f1a0a08
[ui][nex_ui_on_click] register callback | widget=22, callback=0x20c3f1a0a4e
[ui][nex_ui_on_click] register callback | widget=24, callback=0x20c3f1a0a97
[ui][nex_ui_on_click] register callback | widget=25, callback=0x20c3f1a0ae0
[ui][nex_ui_on_click] register callback | widget=31, callback=0x20c3f1907c6
[ui][nex_ui_on_click] register callback | widget=32, callback=0x20c3f19085a
[ui][nex_ui_on_click] register callback | widget=33, callback=0x20c3f1908ec
[ui][nex_ui_on_change] register callback | widget=37, callback=0x20c3f190bb0
[ui][nex_ui_on_click] register callback | widget=38, callback=0x20c3f190c42
[ui][fire_pending] invoking callback | widget=22, kind=Click, fn_ptr=0x20c3f1a0a4e
[ui][fire_pending] callback returned | widget=22, kind=Click
[ui][fire_pending] invoking callback | widget=4, kind=Click, fn_ptr=0x20c3f1b0181
[ui][fire_pending] callback returned | widget=4, kind=Click
[ui][fire_pending] invoking callback | widget=5, kind=Click, fn_ptr=0x20c3f1b01b3
[ui][fire_pending] callback returned | widget=5, kind=Click
[ui][fire_pending] invoking callback | widget=6, kind=Click, fn_ptr=0x20c3f1b01e5
[ui][fire_pending] callback returned | widget=6, kind=Click
[ui][fire_pending] invoking callback | widget=3, kind=Click, fn_ptr=0x20c3f1b014f
[ui][fire_pending] callback returned | widget=3, kind=Click
[ui][fire_pending] invoking callback | widget=15, kind=Click, fn_ptr=0x20c3f1a0a08
[ui][fire_pending] callback returned | widget=15, kind=Click
[ui][fire_pending] invoking callback | widget=25, kind=Click, fn_ptr=0x20c3f1a0ae0
[ui][fire_pending] callback returned | widget=25, kind=Click
[ui][fire_pending] invoking callback | widget=15, kind=Click, fn_ptr=0x20c3f1a0a08
[ui][fire_pending] callback returned | widget=15, kind=Click
[ui][fire_pending] invoking callback | widget=24, kind=Click, fn_ptr=0x20c3f1a0a97
[ui][fire_pending] callback returned | widget=24, kind=Click
[ui][fire_pending] invoking callback | widget=14, kind=Click, fn_ptr=0x20c3f1a09c2
[ui][fire_pending] callback returned | widget=14, kind=Click
[ui][fire_pending] invoking callback | widget=22, kind=Click, fn_ptr=0x20c3f1a0a4e
[ui][fire_pending] callback returned | widget=22, kind=Click
[ui][fire_pending] invoking callback | widget=15, kind=Click, fn_ptr=0x20c3f1a0a08
[ui][fire_pending] callback returned | widget=15, kind=Click
[ui][fire_pending] invoking callback | widget=25, kind=Click, fn_ptr=0x20c3f1a0ae0
[ui][fire_pending] callback returned | widget=25, kind=Click
[ui][nex_ui_on_click] register callback | widget=12, callback=0x1d98b9b07b6
[ui][nex_ui_on_click] register callback | widget=13, callback=0x1d98b9b07e8
[ui][nex_ui_on_click] register callback | widget=14, callback=0x1d98b9b081a
[ui][nex_ui_on_click] register callback | widget=15, callback=0x1d98b9b084c
[ui][nex_ui_on_click] register callback | widget=23, callback=0x1d98b9a09c2
[ui][nex_ui_on_click] register callback | widget=24, callback=0x1d98b9a0a08
[ui][nex_ui_on_click] register callback | widget=31, callback=0x1d98b9a0a4e
[ui][nex_ui_on_click] register callback | widget=33, callback=0x1d98b9a0a97
[ui][nex_ui_on_click] register callback | widget=34, callback=0x1d98b9a0ae0
[ui][nex_ui_on_click] register callback | widget=40, callback=0x1d98b9907c6
[ui][nex_ui_on_click] register callback | widget=41, callback=0x1d98b99085a
[ui][nex_ui_on_click] register callback | widget=42, callback=0x1d98b9908ec
[ui][nex_ui_on_change] register callback | widget=46, callback=0x1d98b990bb0
[ui][nex_ui_on_click] register callback | widget=47, callback=0x1d98b990c42
[ui][nex_ui_on_click] register callback | widget=5, callback=0x243b10a0633
[ui][nex_ui_on_click] register callback | widget=6, callback=0x243b10a0665
[ui][nex_ui_on_click] register callback | widget=7, callback=0x243b10a0697
[ui][nex_ui_on_click] register callback | widget=8, callback=0x243b10a06c9
[ui][nex_ui_on_click] register callback | widget=16, callback=0x243b10909c2
[ui][nex_ui_on_click] register callback | widget=17, callback=0x243b1090a08
[ui][nex_ui_on_click] register callback | widget=24, callback=0x243b1090a4e
[ui][nex_ui_on_click] register callback | widget=26, callback=0x243b1090a97
[ui][nex_ui_on_click] register callback | widget=27, callback=0x243b1090ae0
[ui][nex_ui_on_click] register callback | widget=33, callback=0x243b10807c6
[ui][nex_ui_on_click] register callback | widget=34, callback=0x243b108085a
[ui][nex_ui_on_click] register callback | widget=35, callback=0x243b10808ec
[ui][nex_ui_on_change] register callback | widget=39, callback=0x243b1080bb0
[ui][nex_ui_on_click] register callback | widget=40, callback=0x243b1080c42
[ui][nex_ui_on_click] register callback | widget=3, callback=0x243f056079b
[ui][nex_ui_on_click] register callback | widget=4, callback=0x243f05607cd
[ui][nex_ui_on_click] register callback | widget=5, callback=0x243f05607ff
[ui][nex_ui_on_click] register callback | widget=6, callback=0x243f0560831
[ui][nex_ui_on_click] register callback | widget=14, callback=0x243f05509c2
[ui][nex_ui_on_click] register callback | widget=15, callback=0x243f0550a08
[ui][nex_ui_on_click] register callback | widget=22, callback=0x243f0550a4e
[ui][nex_ui_on_click] register callback | widget=24, callback=0x243f0550a97
[ui][nex_ui_on_click] register callback | widget=25, callback=0x243f0550ae0
[ui][nex_ui_on_click] register callback | widget=31, callback=0x243f05407c6
[ui][nex_ui_on_click] register callback | widget=32, callback=0x243f054085a
[ui][nex_ui_on_click] register callback | widget=33, callback=0x243f05408ec
[ui][nex_ui_on_change] register callback | widget=37, callback=0x243f0540bb0
[ui][nex_ui_on_click] register callback | widget=38, callback=0x243f0540c42
[ui][fire_pending] invoking callback | widget=22, kind=Click, fn_ptr=0x243f0550a4e
[ui][fire_pending] callback returned | widget=22, kind=Click
[ui][fire_pending] invoking callback | widget=3, kind=Click, fn_ptr=0x243f056079b
[ui][fire_pending] callback returned | widget=3, kind=Click
[ui][fire_pending] invoking callback | widget=4, kind=Click, fn_ptr=0x243f05607cd
[ui][fire_pending] callback returned | widget=4, kind=Click
[ui][fire_pending] invoking callback | widget=5, kind=Click, fn_ptr=0x243f05607ff
[ui][fire_pending] callback returned | widget=5, kind=Click
[ui][fire_pending] invoking callback | widget=6, kind=Click, fn_ptr=0x243f0560831
[ui][fire_pending] callback returned | widget=6, kind=Click
[ui][fire_pending] invoking callback | widget=4, kind=Click, fn_ptr=0x243f05607cd
[ui][fire_pending] callback returned | widget=4, kind=Click
[ui][fire_pending] invoking callback | widget=3, kind=Click, fn_ptr=0x243f056079b
[ui][fire_pending] callback returned | widget=3, kind=Click
[ui][fire_pending] invoking callback | widget=4, kind=Click, fn_ptr=0x243f05607cd
[ui][fire_pending] callback returned | widget=4, kind=Click
[ui][fire_pending] invoking callback | widget=5, kind=Click, fn_ptr=0x243f05607ff
[ui][fire_pending] callback returned | widget=5, kind=Click
[ui][fire_pending] invoking callback | widget=38, kind=Click, fn_ptr=0x243f0540c42
[ui][fire_pending] callback returned | widget=38, kind=Click
[ui][fire_pending] invoking callback | widget=3, kind=Click, fn_ptr=0x243f056079b
[ui][fire_pending] callback returned | widget=3, kind=Click
[ui][nex_ui_on_click] register callback | widget=3, callback=0x1f1a751079b
[ui][nex_ui_on_click] register callback | widget=4, callback=0x1f1a75107cd
